customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Contract_One year,Contract_Two year
0022-TCJCI,Yes,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,Credit card (automatic),62.7,2791.5,True,False
0023-HGHWL,Yes,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Yes,Electronic check,25.1,25.1,False,False
0023-UYUPN,No,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,25.2,1306.3,True,False
0023-XUOPT,Yes,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No,Electronic check,94.1,1215.6,False,False
0027-KWYKW,No,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,83.75,1849.95,False,False
0030-FNXPP,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.85,57.2,False,False
0031-PVLZI,Yes,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,76.35,False,False
0032-PGELS,Yes,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,No,Bank transfer (automatic),30.5,30.5,False,False
0036-IHMOT,No,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.7,5656.75,True,False
0040-HALCW,No,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.4,1090.6,False,True
0042-JVWOJ,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.6,471.85,True,False
0042-RLHYP,No,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.7,1396.9,False,True
0048-LUMLS,No,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Credit card (automatic),91.2,3247.55,True,False
0048-PIHNL,No,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.45,900.9,True,False
0052-DCKON,No,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),115.8,7942.15,True,False
0052-YNYOT,No,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.55,1343.4,True,False
0056-EPFBG,No,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Yes,Credit card (automatic),39.4,825.4,False,True
0057-QBUQH,No,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,25.1,1070.15,False,True
0058-EVZWM,No,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),89.8,4959.6,False,False
0060-FUALY,No,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,94.75,5597.65,False,False
0064-SUDOG,No,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.3,224.5,False,True
0064-YIJGF,No,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),75.75,1929.0,False,False
0067-DKWBL,Yes,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Electronic check,49.25,91.1,False,False
0068-FIGTF,No,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,78.2,2078.95,True,False
0071-NDAFP,No,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.5,630.6,False,True
0074-HDKDG,No,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),61.6,1611.0,True,False
0076-LVEPS,No,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Mailed check,45.0,1242.45,False,False
0078-XZMHT,No,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),85.15,6316.2,False,True
0080-EMYVY,No,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,No,Credit card (automatic),51.45,727.85,True,False
0080-OROZO,No,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,99.25,3532.0,True,False
0082-LDZUE,No,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,44.3,44.3,False,False
0082-OQIQY,No,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,94.2,2607.6,False,False
0083-PIVIK,No,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Electronic check,81.25,5567.55,True,False
0089-IIQKO,No,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),99.95,3767.4,False,False
0093-EXYQL,No,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,91.55,3673.6,False,False
0093-XWZFY,Yes,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),104.5,4036.85,False,False
0094-OIFMO,Yes,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,95.0,1120.3,False,False
0096-BXERS,No,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,No,Electronic check,50.35,314.55,False,False
0096-FCPUF,No,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Mailed check,64.5,1888.45,False,False
0098-BOWSO,No,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,19.4,529.8,False,False
0100-DUVFC,No,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.8,7308.95,True,False
0103-CSITQ,No,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),109.4,6252.7,True,False
0104-PPXDV,No,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,No,Credit card (automatic),50.3,2878.55,True,False
0106-GHRQR,No,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),71.4,1212.1,False,False
0106-UGRDO,No,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,116.0,8182.85,False,True
0107-WESLM,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,19.85,19.85,False,False
0107-YHINA,Yes,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.75,99.75,False,False
0111-KLBQG,No,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Mailed check,93.95,2861.45,False,False
0112-QAWRZ,No,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),90.8,1442.2,False,False
0112-QWPNC,Yes,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,84.35,4059.35,True,False
0114-IGABW,No,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),58.25,4145.9,False,True
0114-PEGZZ,No,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Electronic check,107.55,3645.5,False,False
0114-RSRRW,No,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.95,187.75,False,False
0115-TFERT,Yes,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,111.2,2317.1,False,False
0117-LFRMW,Yes,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),40.2,1448.8,False,False
0118-JPNOY,No,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,Credit card (automatic),85.8,2193.65,False,False
0121-SNYRK,No,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,Yes,Mailed check,35.4,1748.9,True,False
0122-OAHPZ,Yes,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,73.85,511.25,False,False
0123-CRBRT,No,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Mailed check,88.1,5526.75,False,True
0125-LZQXK,Yes,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,101.35,1553.95,False,False
0128-MKWSG,No,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,No,Mailed check,45.8,1147.0,False,False
0129-KPTWJ,No,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,94.65,6747.35,False,False
0129-QMPDR,No,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.5,865.05,True,False
0130-SXOUN,No,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No,Credit card (automatic),89.4,5976.9,False,False
0133-BMFZO,Yes,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Electronic check,86.25,181.65,False,False
0134-XWXCE,No,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),74.85,3268.05,True,False
0135-NMXAP,Yes,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),89.75,1052.4,False,False
0136-IFMYD,No,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,109.95,7634.25,False,True
0137-OCGAB,Yes,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Mailed check,80.2,80.2,False,False
0137-UDEUO,Yes,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.85,63.75,False,False
0139-IVFJG,No,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No,Electronic check,90.35,190.5,False,False
0141-YEAYS,No,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),86.45,2401.05,False,False
0142-GVYSN,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.3,511.25,False,False
0147-ESWWR,No,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,101.25,3949.15,False,False
0148-DCDOS,Yes,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),94.7,2362.1,False,False
0151-ONTOV,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,No,Mailed check,70.9,70.9,False,False
0156-FVPTA,Yes,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,Electronic check,54.2,1152.7,False,False
0164-APGRB,No,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,114.9,8496.7,False,True
0164-XAIRP,No,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.55,470.2,False,True
0168-XZKBB,No,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,86.85,1564.4,False,False
0174-QRVVY,No,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.35,1847.55,False,True
0177-PXBAT,No,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),109.9,3694.7,False,False
0178-CIIKR,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,58.0,False,False
0178-SZBHO,No,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,Electronic check,87.2,4017.45,False,False
0181-RITDD,No,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Mailed check,108.15,6825.65,False,True
0186-CAERR,No,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),116.3,8309.55,True,False
0187-QSXOE,No,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,89.0,605.45,False,False
0187-WZNAB,No,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Mailed check,74.4,1972.35,False,False
0188-GWFLE,No,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.05,33.7,False,False
0191-EQUUH,No,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),35.05,844.45,False,True
0191-ZHSKZ,No,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,74.75,2111.3,False,False
0193-ESZXP,Yes,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),105.5,6205.5,True,False
0195-IESCP,Yes,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.25,855.3,False,False
0196-JTUQI,No,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),75.2,633.85,False,False
0196-VULGZ,Yes,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,84.35,474.9,False,False
0197-PNKNK,No,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,No,Bank transfer (automatic),84.45,5848.6,True,False
0201-MIBOL,No,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),102.4,6471.85,False,True
0201-OAMXR,Yes,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),115.55,8127.6,True,False
0203-HHYIJ,Yes,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),25.3,676.35,True,False
0206-OYVOC,No,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.25,864.2,False,True
0206-TBWLC,No,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,114.65,6049.5,True,False
0207-MDKNV,Yes,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,105.1,1582.75,False,False
0208-BPQEJ,No,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.4,198.1,False,False
0212-ISBBF,No,Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Electronic check,50.35,1098.85,False,False
0214-JHPFW,No,Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),57.8,4039.3,False,True
0215-BQKGS,No,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Credit card (automatic),84.3,2438.6,False,False
0218-QNVAS,No,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,Bank transfer (automatic),100.55,7113.75,True,False
0219-QAERP,No,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.8,576.65,True,False
0219-YTZUE,Yes,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),84.8,371.9,False,False
0220-EBGCE,Yes,Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Electronic check,85.85,167.3,False,False
0221-NAUXK,No,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.95,219.5,True,False
0221-WMXNQ,No,Male,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Electronic check,75.35,273.4,False,False
0222-CNVPT,No,Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Credit card (automatic),48.8,2555.05,False,False
0224-HJAPT,Yes,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,No,Electronic check,47.15,223.15,False,False
0224-NIJLP,No,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,165.5,False,True
0224-RLWWD,No,Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,44.3,89.3,False,False
0225-ZORZP,No,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,No,Electronic check,84.3,235.05,False,False
0228-MAUWC,No,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,Electronic check,59.55,1144.6,False,False
0229-LFJAF,No,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),69.65,4908.25,False,True
0230-UBYPQ,No,Male,1,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),36.1,2298.9,True,False
0230-WEQUW,No,Male,0,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),56.6,3789.2,False,True
0231-LXVAP,Yes,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Yes,Electronic check,75.9,75.9,False,False
0233-FTHAV,No,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),79.2,4765.0,True,False
0234-TEVTT,No,Female,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,No,Credit card (automatic),45.0,2196.3,True,False
0235-KGSLC,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Credit card (automatic),85.55,85.55,False,False
0236-HFWSV,Yes,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,93.35,1444.65,False,False
0237-YFUTL,No,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),109.65,5405.8,False,False
0238-WHBIQ,No,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),89.7,6339.3,False,True
0239-OXEXL,No,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,Mailed check,84.25,3847.6,False,False
0244-LGNFY,No,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),92.65,6733.0,False,True
0247-SLUJI,No,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,19.7,False,False
0248-IPDFW,No,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Electronic check,50.1,50.1,False,False
0248-PGHBZ,No,Female,1,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Bank transfer (automatic),92.45,6140.85,False,True
0253-ZTEOB,No,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,Electronic check,79.65,3870.3,False,True
0254-FNMCI,No,Female,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,109.9,7624.2,False,True
0254-KCJGT,No,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),81.4,4354.45,True,False
0254-WWRKD,No,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No,No,No,No,No,Credit card (automatic),50.55,3431.75,True,False
0256-LTHVJ,Yes,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,81.05,2227.1,False,False
0257-KXZGU,No,Female,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,No,Bank transfer (automatic),62.45,2045.55,False,False
0257-ZESQC,Yes,Female,1,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),75.2,1929.35,False,False
0258-NOKBL,No,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,Electronic check,90.4,268.45,False,False
0259-GBZSH,Yes,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,85.65,181.5,False,False
0260-ZDLGK,Yes,Female,0,No,Yes,9,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Mailed check,72.9,651.4,False,False
0263-FJTQO,No,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),70.5,3486.65,False,True
0264-CNITK,No,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.1,1389.6,False,True
0265-EDXBD,Yes,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.9,2303.35,False,False
0265-PSUAE,No,Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),100.7,1522.7,False,False
0266-CLZKZ,No,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),105.65,6717.9,False,True
0266-GMEAO,No,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),114.3,8058.55,False,True
0268-QKIWO,Yes,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.75,58.85,False,False
0269-XFESX,No,Male,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,24.35,538.5,True,False
0270-THENM,No,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),69.85,5102.35,False,True
